bloomberg_id,product_name,exchange_name,sector,timezone,settlement_end_time,market_open_time,market_close_time,settlement_end_time_UTC,market_open_time_UTC,market_close_time_UTC,settlement_end_time_SG,market_open_time_SG,market_close_time_SG
CO Comdty,BRENT CRUDE FUT,ICE-UK,ENERGY,Europe/London,19:30:00,1:00:00,23:00:00,,,,,,
CL Comdty,WTI CRUDE FUT,NYMEX,ENERGY,US/Eastern,20:30:00,18:00:00,17:00:00,,,,,,
NG Comdty,NATURAL GAS FUT,NYMEX,ENERGY,US/Eastern,21:30:00,18:00:00,17:00:00,,,,,,
QS Comdty,GAS OIL FUT (ICE),ICE-UK,ENERGY,Europe/London,22:30:00,1:00:00,23:00:00,,,,,,
XB Comdty,GASOLINE RBOB FUT (NYM),NYMEX,ENERGY,US/Eastern,23:30:00,18:00:00,17:00:00,,,,,,
HO Comdty,HEATING OIL FUT,NYMEX,ENERGY,US/Eastern,0:30:00,18:00:00,17:00:00,,,,,,
S  Comdty,SOYBEAN FUT,CBOT,AGRI,US/Eastern,1:30:00,19:00:00,13:20:00,,,,,,
C  Comdty,CORN FUT,CBOT,AGRI,US/Eastern,2:30:00,19:00:00,13:20:00,,,,,,
HG Comdty,HG COPPER FUT,COMEX,METAL,US/Eastern,3:30:00,18:00:00,17:00:00,,,,,,
BO Comdty,SOYBEAN OIL FUT,CBOT,AGRI,US/Eastern,4:30:00,19:00:00,13:20:00,,,,,,
W  Comdty,WHEAT FUT (CBT),CBOT,AGRI,US/Eastern,5:30:00,19:00:00,13:20:00,,,,,,
SM Comdty,SOYBEAN MEAL FUT,CBOT,AGRI,US/Eastern,6:30:00,19:00:00,13:20:00,,,,,,
GC Comdty,GOLD 100 OZ FUT,COMEX,METAL,US/Eastern,7:30:00,18:00:00,17:00:00,,,,,,
SI Comdty,SILVER FUT,COMEX,METAL,US/Eastern,8:30:00,18:00:00,17:00:00,,,,,,
SB Comdty,SUGAR #11 FUT,ICE-US,AGRI,US/Eastern,9:30:00,3:30:00,13:00:00,,,,,,
KW Comdty,KANSAS WHEAT FUT,CBOT,AGRI,US/Eastern,10:30:00,19:00:00,13:20:00,,,,,,
CT Comdty,COTTON NO.2 FUT,ICE-US,AGRI,US/Eastern,11:30:00,21:00:00,14:20:00,,,,,,
LC Comdty,LIVE CATTLE FUT,CME,AGRI,US/Eastern,12:30:00,8:30:00,13:05:00,,,,,,
KC Comdty,COFFEE ARABICA FUT,ICE-US,AGRI,US/Eastern,13:30:00,4:15:00,13:30:00,,,,,,
PL Comdty,PLATINUM FUT,NYMEX,METAL,US/Eastern,14:30:00,18:00:00,17:00:00,,,,,,
CC Comdty,COCOA FUT,ICE-US,AGRI,US/Eastern,15:30:00,4:45:00,13:30:00,,,,,,
FC Comdty,FEEDER CATTLE FUT,CME,AGRI,US/Eastern,16:30:00,8:30:00,13:05:00,,,,,,
LH Comdty,LEAN HOGS FUT,CME,AGRI,US/Eastern,18:30:00,8:30:00,13:05:00,,,,,,
CA Comdty,MILL WHEAT EURO FUT,EOP,AGRI,US/Eastern,19:30:00,10:45:00,18:30:00,,,,,,
QC Comdty,COCOA FUT (LND),ICE-UK,AGRI,US/Eastern,20:30:00,9:30:00,16:55:00,,,,,,
RS Comdty,Canola FUTR (WCE),ICE US-Canadian,AGRI,US/Eastern,21:30:00,19:00:00,13:20:00,,,,,,
DF Comdty,COFFEE ROBUSTA 10tn,ICE-UK,AGRI,US/Eastern,22:30:00,9:00:00,17:30:00,,,,,,
QW Comdty,WHITE SUGAR FUT (LND),ICE-UK,AGRI,US/Eastern,0:30:00,8:45:00,18:00:00,,,,,,
MW Comdty,MINNEAPOLIS FUT (MGE),MGE,AGRI,US/Eastern,1:30:00,19:00:00,13:30:00,,,,,,
PA Comdty,PALLADIUM FUT,NYMEX,METAL,US/Eastern,2:30:00,18:00:00,17:00:00,,,,,,
IJ Comdty,RAPESEED EURO FUT,EOP,AGRI,US/Eastern,3:30:00,10:45:00,18:30:00,,,,,,
JO Comdty,FCOJ-A FUTURE,ICE-US,AGRI,US/Eastern,4:30:00,8:00:00,14:00:00,,,,,,
LP Comdty,LME COPPER FUT,LME,METAL,Europe/London,5:30:00,20:00:00,19:45:00,,,,,,
LA Comdty,LME PRI ALUMINIUM FUT,LME,METAL,Europe/London,6:30:00,20:00:00,19:45:00,,,,,,
LN Comdty,LME NICKEL FUT,LME,METAL,Europe/London,7:30:00,20:00:00,19:45:00,,,,,,
LX Comdty,LME ZINC FUT,LME,METAL,Europe/London,8:30:00,20:00:00,19:45:00,,,,,,
LL Comdty,LME LEAD FUT,LME,METAL,Europe/London,9:30:00,20:00:00,19:45:00,,,,,,
LT Comdty,LME Tin Fut,LME,METAL,Europe/London,10:30:00,20:00:00,19:45:00,,,,,,
